"","num Df","den Df","MSE","F","pes","Pr(>F)"
"Group_affect",2,2213,0.721,314.625,0.221,0
"time",3,2213,0.721,2.488,0.003,0.059
"cesd_scaled",1,2213,0.721,81.386,0.035,0
"EXTR_scaled",1,2213,0.721,9.906,0.004,0.002
"gen_impr_scaled",1,2213,0.721,139.579,0.059,0
"BPD_scaled",1,2213,0.721,24.581,0.011,0
"Group_affect:time",6,2213,0.721,0.306,0.001,0.934
